date_local,aqi,arithmetic_mean,first_max_value,observation_count,observation_percent
2017-01-01,5.2536764705882355,0.32045605667276056,0.5490164533820842,21.42961608775137,87.25959780621572
2017-01-08,5.343283582089552,0.33525474907063196,0.5320018587360594,24.00557620817844,98.01672862453532
2017-01-15,5.6162361623616235,0.34508307366482505,0.5615469613259669,24.01841620626151,98.097605893186
2017-01-22,5.0476190476190474,0.29464204387568554,0.4907897623400365,24.080438756855575,98.3656307129799
2017-01-29,5.408088235294118,0.3287726825688074,0.553845871559633,24.069724770642203,98.3137614678899
2017-02-05,4.992727272727273,0.3165270780399274,0.4876969147005445,24.11070780399274,98.50816696914701
2017-02-12,5.084870848708487,0.29773408455882355,0.4856323529411765,24.027573529411764,98.13602941176471
2017-02-19,4.781481481481482,0.2906291053604436,0.4716839186691313,24.12199630314233,98.51756007393715
2017-02-26,3.836431226765799,0.24279098701298701,0.38600371057513916,24.11317254174397,98.47495361781075
2017-03-05,3.785185185185185,0.24571405360443627,0.3721977818853974,24.153419593345657,98.64695009242145
2017-03-12,4.33955223880597,0.2963863382899628,0.43085501858736064,23.71561338289963,96.817843866171
2017-03-19,4.283088235294118,0.2798490165137615,0.4164550458715596,24.1302752293578,98.56330275229358
2017-03-26,3.89010989010989,0.2636391718464351,0.38629798903107865,23.873857404021937,97.50822669104205
2017-04-02,4.446969696969697,0.28740085444234403,0.4377712665406427,24.034026465028354,98.10775047258979
2017-04-09,4.143939393939394,0.2756582381852552,0.4117466918714556,24.041587901701323,98.14555765595463
2017-04-16,4.023346303501945,0.2709149553398058,0.39035145631067963,24.106796116504853,98.35145631067961
2017-04-23,3.9250936329588013,0.24669435514018692,0.382818691588785,24.085981308411213,98.34766355140187
2017-04-30,3.4275092936802976,0.23282989981447125,0.3376530612244898,23.918367346938776,97.66233766233766
2017-05-07,3.1203007518796992,0.22391498499061915,0.32805253283302066,24.03189493433396,98.11632270168856
2017-05-14,3.409090909090909,0.23100685444234403,0.33506616257088845,24.09829867674858,98.3742911153119
2017-05-21,3.586206896551724,0.2450966118546845,0.3552600382409178,24.093690248565967,98.33652007648183
2017-05-28,3.651685393258427,0.248251061682243,0.36028971962616824,24.114018691588786,98.45794392523365
2017-06-04,3.626865671641791,0.24460114525139667,0.35649162011173186,24.070763500931097,98.29608938547486
2017-06-11,2.790874524714829,0.21158789943074002,0.2774098671726755,23.886148007590133,97.48387096774194
2017-06-18,3.2319391634980987,0.22633971537001898,0.32126375711574956,23.314990512333967,97.19544592030361
2017-06-25,3.041825095057034,0.21991501138519925,0.3063282732447818,23.992409867172675,97.92789373814041
2017-07-02,3.054263565891473,0.215782,0.3138532818532818,24.03281853281853,98.06949806949807
2017-07-09,3.350194552529183,0.23259012427184464,0.33697281553398056,23.885436893203885,97.43300970873787
2017-07-16,3.6377952755905514,0.2521550844793713,0.3595225933202358,23.86444007858546,97.32023575638507
2017-07-23,3.4352941176470586,0.238389703125,0.32834375,23.9375,97.634765625
2017-07-30,3.108527131782946,0.22231222823984526,0.32141779497098644,23.901353965183752,97.51257253384912
2017-08-06,3.26953125,0.23064324319066148,0.3239143968871595,24.06809338521401,98.18677042801556
2017-08-13,3.627906976744186,0.24478882011605416,0.36488007736943906,24.075435203094777,98.22630560928434
2017-08-20,3.9186046511627906,0.2615786943907157,0.38927466150870405,24.058027079303674,98.1624758220503
2017-08-27,4.052208835341365,0.2714901325301205,0.392491967871486,23.57831325301205,98.28714859437751
2017-09-03,4.96484375,0.30756883820662767,0.4788538011695907,23.964912280701753,97.75438596491227
2017-09-10,3.900398406374502,0.27243185458167335,0.3864800796812749,24.02788844621514,97.97410358565737
2017-09-17,4.407114624505929,0.2948029486166008,0.42440316205533596,24.07312252964427,98.17588932806323
2017-09-24,4.8313725490196076,0.3051304735812133,0.4756634050880626,23.892367906066536,97.44618395303327
2017-10-01,3.85,0.24796975529865126,0.38491136801541426,23.853564547206165,97.3102119460501
2017-10-08,4.586872586872587,0.26516036100386103,0.43994980694980695,24.071428571428573,98.21428571428571
2017-10-15,5.264591439688716,0.30806331456310676,0.5051184466019418,24.122330097087378,98.41941747572815
2017-10-22,5.50763358778626,0.33536309714285717,0.5539142857142857,24.03047619047619,98.08380952380952
2017-10-29,4.935114503816794,0.2899283104761905,0.4674,24.00952380952381,97.98857142857143
2017-11-05,4.018867924528302,0.25840161205273066,0.397120527306968,24.033898305084747,98.11676082862523
2017-11-12,6.64591439688716,0.3993088834951456,0.6449203883495146,24.042718446601942,98.08932038834952
2017-11-19,5.5310077519379846,0.31895100580270797,0.5400986460348163,24.009671179883945,97.96131528046422
2017-11-26,6.558139534883721,0.3646717984496124,0.6273294573643411,23.941860465116278,97.67054263565892
2017-12-03,8.74609375,0.4723008947368421,0.826037037037037,24.04093567251462,98.0701754385965
2017-12-10,6.23046875,0.3717892417153996,0.6340584795321638,23.84795321637427,97.26510721247563
2017-12-17,6.347490347490347,0.35514896525096523,0.6081776061776062,23.484555984555985,97.8996138996139
2017-12-24,6.775665399239544,0.4061464524714829,0.6631083650190115,23.53422053231939,98.10646387832699
2017-12-31,6.772200772200772,0.40393021235521237,0.6741254826254827,23.642857142857142,96.46911196911196
2018-01-07,6.01984126984127,0.36006461309523813,0.5739761904761904,23.51984126984127,98.04166666666667
2018-01-14,5.748,0.35178564529058115,0.577749498997996,23.488977955911825,97.91783567134269
2018-01-21,6.151394422310757,0.3718575248508946,0.6059562624254473,23.934393638170974,97.58250497017893
2018-01-28,6.019685039370079,0.35376569941060904,0.5951335952848723,24.13163064833006,98.43418467583497
