cdc_case_earliest_dt,cdc_report_dt,death_yn
2/24/2020,42,Unknown
2/24/2020,21,Yes
2/25/2020,79,Missing
2/25/2020,69,No
2/25/2020,36,Unknown
2/25/2020,22,Yes
2/26/2020,89,Missing
2/26/2020,95,No
2/26/2020,42,Unknown
2/26/2020,25,Yes
2/27/2020,77,Missing
2/27/2020,93,No
2/27/2020,42,Unknown
2/27/2020,32,Yes
2/28/2020,145,Missing
2/28/2020,166,No
2/28/2020,52,Unknown
2/28/2020,26,Yes
2/29/2020,103,Missing
2/29/2020,124,No
2/29/2020,42,Unknown
2/29/2020,26,Yes
3/1/2020,356,Missing
3/1/2020,535,No
3/1/2020,78,Unknown
3/1/2020,71,Yes
3/2/2020,263,Missing
3/2/2020,356,No
3/2/2020,83,Unknown
3/2/2020,75,Yes
3/3/2020,279,Missing
3/3/2020,425,No
3/3/2020,91,Unknown
3/3/2020,74,Yes
3/4/2020,320,Missing
3/4/2020,447,No
3/4/2020,84,Unknown
3/4/2020,73,Yes
3/5/2020,372,Missing
3/5/2020,489,No
3/5/2020,76,Unknown
3/5/2020,84,Yes
3/6/2020,422,Missing
3/6/2020,663,No
3/6/2020,111,Unknown
3/6/2020,98,Yes
3/7/2020,453,Missing
3/7/2020,700,No
3/7/2020,95,Unknown
3/7/2020,111,Yes
3/8/2020,549,Missing
3/8/2020,887,No
3/8/2020,107,Unknown
3/8/2020,123,Yes
3/9/2020,960,Missing
3/9/2020,"1,471",No
3/9/2020,202,Unknown
3/9/2020,172,Yes
3/10/2020,"1,150",Missing
3/10/2020,"1,946",No
3/10/2020,272,Unknown
3/10/2020,208,Yes
3/11/2020,"1,186",Missing
3/11/2020,"2,170",No
3/11/2020,365,Unknown
3/11/2020,238,Yes
3/12/2020,"1,419",Missing
3/12/2020,"2,610",No
3/12/2020,607,Unknown
3/12/2020,328,Yes
3/13/2020,"1,748",Missing
3/13/2020,"3,780",No
3/13/2020,927,Unknown
3/13/2020,405,Yes
3/14/2020,"1,615",Missing
3/14/2020,"3,837",No
3/14/2020,901,Unknown
3/14/2020,445,Yes
3/15/2020,"2,129",Missing
3/15/2020,"5,178",No
3/15/2020,"1,386",Unknown
3/15/2020,520,Yes
3/16/2020,"3,139",Missing
3/16/2020,"7,066",No
3/16/2020,"2,597",Unknown
3/16/2020,743,Yes
3/17/2020,"3,055",Missing
3/17/2020,"7,502",No
3/17/2020,"2,931",Unknown
3/17/2020,753,Yes
3/18/2020,"3,323",Missing
3/18/2020,"8,327",No
3/18/2020,"3,510",Unknown
3/18/2020,872,Yes
3/19/2020,"3,052",Missing
3/19/2020,"7,797",No
3/19/2020,"4,057",Unknown
3/19/2020,965,Yes
3/20/2020,"3,880",Missing
3/20/2020,"9,709",No
3/20/2020,"4,576",Unknown
3/20/2020,"1,181",Yes
3/21/2020,"3,261",Missing
3/21/2020,"7,439",No
3/21/2020,"3,039",Unknown
3/21/2020,"1,051",Yes
3/22/2020,"3,290",Missing
3/22/2020,"7,129",No
3/22/2020,"2,983",Unknown
3/22/2020,"1,122",Yes
3/23/2020,"4,899",Missing
3/23/2020,"10,843",No
3/23/2020,"4,400",Unknown
3/23/2020,"1,570",Yes
3/24/2020,"4,564",Missing
3/24/2020,"9,585",No
3/24/2020,"5,103",Unknown
3/24/2020,"1,651",Yes
3/25/2020,"4,879",Missing
3/25/2020,"10,689",No
3/25/2020,"5,402",Unknown
3/25/2020,"1,834",Yes
3/26/2020,"4,999",Missing
3/26/2020,"10,360",No
3/26/2020,"5,676",Unknown
3/26/2020,"1,894",Yes
3/27/2020,"5,183",Missing
3/27/2020,"11,473",No
3/27/2020,"5,875",Unknown
3/27/2020,"2,029",Yes
3/28/2020,"4,418",Missing
3/28/2020,"9,495",No
3/28/2020,"3,980",Unknown
3/28/2020,"1,793",Yes
3/29/2020,"4,386",Missing
3/29/2020,"8,587",No
3/29/2020,"3,982",Unknown
3/29/2020,"1,754",Yes
3/30/2020,"6,324",Missing
3/30/2020,"13,018",No
3/30/2020,"7,096",Unknown
3/30/2020,"2,408",Yes
3/31/2020,"5,710",Missing
3/31/2020,"10,873",No
3/31/2020,"6,273",Unknown
3/31/2020,"2,373",Yes
4/1/2020,"6,975",Missing
4/1/2020,"14,193",No
4/1/2020,"6,513",Unknown
4/1/2020,"2,564",Yes
4/2/2020,"6,013",Missing
4/2/2020,"11,223",No
4/2/2020,"6,456",Unknown
4/2/2020,"2,429",Yes
4/3/2020,"6,185",Missing
4/3/2020,"12,012",No
4/3/2020,"6,549",Unknown
4/3/2020,"2,433",Yes
4/4/2020,"5,335",Missing
4/4/2020,"9,809",No
4/4/2020,"4,550",Unknown
4/4/2020,"2,154",Yes
4/5/2020,"4,724",Missing
4/5/2020,"9,231",No
4/5/2020,"4,371",Unknown
4/5/2020,"2,097",Yes
4/6/2020,"7,341",Missing
4/6/2020,"13,515",No
4/6/2020,"7,574",Unknown
4/6/2020,"2,851",Yes
4/7/2020,"6,979",Missing
4/7/2020,"12,278",No
4/7/2020,"7,166",Unknown
4/7/2020,"2,791",Yes
4/8/2020,"6,731",Missing
4/8/2020,"12,148",No
4/8/2020,"6,746",Unknown
4/8/2020,"2,805",Yes
4/9/2020,"6,337",Missing
4/9/2020,"10,556",No
4/9/2020,"6,028",Unknown
4/9/2020,"2,487",Yes
4/10/2020,"7,062",Missing
4/10/2020,"11,970",No
4/10/2020,"5,778",Unknown
4/10/2020,"2,496",Yes
4/11/2020,"5,453",Missing
4/11/2020,"8,586",No
4/11/2020,"4,436",Unknown
4/11/2020,"1,963",Yes
4/12/2020,"5,174",Missing
4/12/2020,"7,897",No
4/12/2020,"3,468",Unknown
4/12/2020,"1,850",Yes
4/13/2020,"7,100",Missing
4/13/2020,"11,259",No
4/13/2020,"4,781",Unknown
4/13/2020,"2,508",Yes
4/14/2020,"7,173",Missing
4/14/2020,"11,161",No
4/14/2020,"5,725",Unknown
4/14/2020,"2,310",Yes
4/15/2020,"7,570",Missing
4/15/2020,"12,560",No
4/15/2020,"5,681",Unknown
4/15/2020,"2,207",Yes
4/16/2020,"6,550",Missing
4/16/2020,"11,122",No
4/16/2020,"5,043",Unknown
4/16/2020,"2,172",Yes
4/17/2020,"7,665",Missing
4/17/2020,"11,407",No
4/17/2020,"5,474",Unknown
4/17/2020,"2,142",Yes
4/18/2020,"6,043",Missing
4/18/2020,"8,548",No
