Date,Open,High,Low,Close,Adj Close,Volume
2020-01-05,321.1600036621094,323.6400146484375,321.1000061035156,322.4100036621094,303.9759216308594,77709700
2020-01-12,327.2900085449219,327.4599914550781,325.20001220703125,325.7099914550781,307.0872802734375,53029300
2020-01-19,331.70001220703125,332.17999267578125,330.8500061035156,331.95001220703125,312.9704895019531,95846000
2020-01-26,332.44000244140625,332.5299987792969,327.3599853515625,328.7699890136719,309.9722595214844,87578400
2020-02-02,327.0,327.1700134277344,320.7300109863281,321.7300109863281,303.3348693847656,113845600
2020-02-09,332.82000732421875,333.989990234375,331.6000061035156,332.20001220703125,313.20611572265625,64139400
2020-02-16,337.510009765625,337.7300109863281,336.20001220703125,337.6000061035156,318.2974548339844,64582200
2020-02-23,335.4700012207031,335.80999755859375,332.5799865722656,333.4800109863281,314.4129943847656,113788200
2020-03-01,288.70001220703125,297.8900146484375,285.5400085449219,296.260009765625,279.321044921875,384975800
2020-03-08,293.1499938964844,298.7799987792969,290.2300109863281,297.4599914550781,280.4525146484375,228667200
2020-03-15,263.0899963378906,271.4800109863281,248.52000427246094,269.32000732421875,253.92140197753906,329566100
2020-03-22,242.52999877929688,244.47000122070312,228.5,228.8000030517578,216.98663330078125,347158800
2020-03-29,253.27000427246094,260.80999755859375,251.0500030517578,253.4199981689453,240.33546447753906,224341200
2020-04-05,250.75999450683594,253.32000732421875,245.22000122070312,248.19000244140625,235.37551879882812,135561200
2020-04-12,277.5799865722656,281.20001220703125,275.4700012207031,278.20001220703125,263.8360290527344,189999200
2020-04-19,285.3800048828125,287.29998779296875,282.3999938964844,286.6400146484375,271.84027099609375,146684800
2020-04-26,280.7300109863281,283.70001220703125,278.5,282.9700012207031,268.3597717285156,85063200
2020-05-03,285.30999755859375,290.6600036621094,281.5199890136719,282.7900085449219,268.18902587890625,125180000
2020-05-10,291.0899963378906,292.95001220703125,289.8599853515625,292.44000244140625,277.3408203125,76452400
2020-05-17,282.3699951171875,286.3299865722656,281.3399963378906,286.2799987792969,271.4988098144531,111146300
2020-05-24,294.57000732421875,295.6300048828125,293.2200012207031,295.44000244140625,280.18585205078125,63958200
2020-05-31,302.4599914550781,304.9599914550781,299.4700012207031,304.32000732421875,288.607421875,119090800
2020-06-07,317.2300109863281,321.2699890136719,317.1600036621094,319.3399963378906,302.8517761230469,150524700
2020-06-14,308.239990234375,309.0799865722656,298.6000061035156,304.2099914550781,288.5030822753906,194678900
2020-06-21,314.1700134277344,314.3800048828125,306.5299987792969,308.6400146484375,293.992431640625,135549600
2020-06-28,306.1600036621094,306.3900146484375,299.4200134277344,300.04998779296875,285.81011962890625,127961000
2020-07-05,314.239990234375,315.70001220703125,311.510009765625,312.2300109863281,297.4120788574219,69344200
2020-07-12,314.30999755859375,317.8800048828125,312.760009765625,317.5899963378906,302.5177307128906,57550400
2020-07-19,321.8800048828125,322.57000732421875,319.739990234375,321.7200012207031,306.4516296386719,62774900
2020-07-26,320.95001220703125,321.989990234375,319.25,320.8800048828125,305.65155029296875,73766600
2020-08-02,325.8999938964844,326.6300048828125,321.3299865722656,326.5199890136719,311.0238037109375,84986800
2020-08-09,333.2799987792969,334.8800048828125,332.29998779296875,334.57000732421875,318.69183349609375,57308300
2020-08-16,336.4100036621094,337.4200134277344,335.6199951171875,336.8399963378906,320.8540954589844,47260400
2020-08-23,337.9200134277344,339.7200012207031,337.54998779296875,339.4800109863281,323.3688049316406,55106600
2020-08-30,349.44000244140625,350.7200012207031,348.1499938964844,350.5799865722656,333.9419860839844,48588900
2020-09-06,346.1300048828125,347.8299865722656,334.8699951171875,342.57000732421875,326.3121643066406,139156300
2020-09-13,335.82000732421875,336.9700012207031,331.0,334.05999755859375,318.2060241699219,84680200
2020-09-20,335.3699951171875,335.489990234375,327.9700012207031,330.6499938964844,316.2186279296875,105877900
2020-09-27,322.5799865722656,329.5799865722656,321.6400146484375,328.7300109863281,314.3824462890625,71069400
2020-10-04,331.70001220703125,337.010009765625,331.19000244140625,333.8399963378906,319.2693786621094,89431100
2020-10-11,345.55999755859375,347.3500061035156,344.8900146484375,346.8500061035156,331.7115173339844,59528600
2020-10-18,348.9599914550781,350.75,347.1000061035156,347.2900085449219,332.13238525390625,89501900
2020-10-25,345.92999267578125,345.989990234375,343.1300048828125,345.7799987792969,330.6883239746094,49143900
2020-11-01,328.2799987792969,329.69000244140625,322.6000061035156,326.5400085449219,312.2880859375,120287300
2020-11-08,349.92999267578125,351.510009765625,347.6499938964844,350.1600036621094,334.8771057128906,74973000
2020-11-15,355.2699890136719,358.8999938964844,354.7099914550781,358.1000061035156,342.4706115722656,62892200
2020-11-22,357.5,357.7200012207031,355.25,355.3299865722656,339.8214416503906,70417300
